# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.5200,-6.8900,0.5467,0.5467
-2.5100,-6.9000,0.5482,0.5482
-2.5000,-6.9100,0.5500,0.5500
-2.4900,-6.9200,0.5471,0.5471
-2.4800,-6.9300,0.5438,0.5438
-2.4700,-6.9400,0.5408,0.5408
-2.4600,-6.9500,0.5382,0.5382
-2.4500,-6.9600,0.5360,0.5360
-2.4400,-6.9600,0.5420,0.5420
-2.4300,-6.9700,0.5404,0.5404
-2.4200,-6.9700,0.5456,0.5456
-2.4100,-6.9800,0.5456,0.5456
-2.4000,-6.9900,0.5442,0.5442
-2.3900,-6.9900,0.5420,0.5420
-2.3800,-7.0000,0.5423,0.5423
-2.3700,-7.0100,0.5371,0.5371
-2.3600,-7.0200,0.5323,0.5323
-2.3500,-7.0300,0.5277,0.5277
-2.3400,-7.0300,0.5324,0.5324
-2.3300,-7.0400,0.5284,0.5284
-2.3200,-7.0500,0.5248,0.5248
-2.3100,-7.0500,0.5300,0.5300
-2.3000,-7.0600,0.5270,0.5270
-2.2900,-7.0600,0.5325,0.5325
-2.2800,-7.0600,0.5354,0.5354
-2.2700,-7.0700,0.5360,0.5360
-2.2600,-7.0700,0.5325,0.5325
-2.2500,-7.0800,0.5354,0.5354
-2.2400,-7.0800,0.5300,0.5300
-2.2300,-7.0900,0.5334,0.5334
-2.2200,-7.1000,0.5371,0.5371
-2.2100,-7.1000,0.5324,0.5324
-2.2000,-7.1000,0.5277,0.5277
-2.1900,-7.1100,0.5323,0.5323
-2.1800,-7.1200,0.5367,0.5367
-2.1700,-7.1200,0.5323,0.5323
-2.1600,-7.1300,0.5367,0.5367
-2.1500,-7.1400,0.5412,0.5412
-2.1400,-7.1400,0.5367,0.5367
-2.1300,-7.1500,0.5413,0.5413
-2.1200,-7.1500,0.5371,0.5371
-2.1100,-7.1600,0.5423,0.5423
-2.1000,-7.1600,0.5385,0.5385
-2.0900,-7.1600,0.5349,0.5349
-2.0800,-7.1700,0.5408,0.5408
-2.0700,-7.1700,0.5376,0.5376
-2.0600,-7.1700,0.5345,0.5345
-2.0500,-7.1700,0.5314,0.5314
-2.0400,-7.1800,0.5376,0.5376
-2.0300,-7.1800,0.5345,0.5345
-2.0200,-7.1800,0.5316,0.5316
-2.0100,-7.1800,0.5289,0.5289
-2.0000,-7.1900,0.5360,0.5360
-1.9900,-7.1900,0.5337,0.5337
-1.9800,-7.1900,0.5315,0.5315
-1.9700,-7.1900,0.5295,0.5295
-1.9600,-7.1900,0.5277,0.5277
-1.9500,-7.2000,0.5360,0.5360
-1.9400,-7.2000,0.5346,0.5346
